idx,id,cat_id,timestamp,longitude,latitude
0,22384881,26,1643698800,48.42224884033203,38.226070404052734
1,22384881,26,1643698800,48.06190872192383,37.68104934692383
2,22384877,26,1643785680,47.94429016113281,37.51573944091797
3,22384877,26,1643785680,48.06304931640625,37.68241882324219
4,22384872,21,1643788723,47.20647,37.74899
5,22385503,26,1643873545,47.20383071899414,37.76396179199219
6,22385503,26,1643873545,47.19110870361328,37.73065948486328
7,22385503,26,1643873545,48.064430236816406,37.68619918823242
8,22385503,26,1643873545,48.092071533203125,37.669029235839844
9,22386954,21,1644073380,47.19485,37.74259
10,22386955,21,1644074520,47.26496,37.78001
11,22387208,26,1644133427,47.26280975341797,37.785240173339844
12,22387208,26,1644133427,48.0660400390625,37.679161071777344
13,22387208,26,1644133427,47.765869140625,37.59230041503906
14,22387208,26,1644133427,47.23775100708008,37.80017852783203
15,22387694,26,1644216812,48.06132888793945,37.67932891845703
16,22387694,26,1644216812,48.093101501464844,37.68138885498047
17,22388083,19,1644247140,46.3602,31.06797
18,22388181,26,1644305134,48.36069107055664,37.910560607910156
19,22388181,26,1644305134,48.064998626708984,37.67932891845703
20,22388181,26,1644305134,48.06201171875,37.672119140625
21,22388181,26,1644305134,48.096309661865234,37.66748046875
22,22388181,26,1644305134,48.05582046508789,37.57598876953125
23,22388820,26,1644391800,48.05421829223633,37.58869171142578
24,22388820,26,1644391800,48.06809997558594,37.67401123046875
25,22388820,26,1644391800,48.43877029418945,38.2303581237793
26,22389391,26,1644478826,48.09563,37.66625
27,22390011,26,1644568075,48.06304168701172,37.67898941040039
28,22390011,26,1644568075,48.409481048583984,38.03810119628906
29,22390011,26,1644568075,47.460350036621094,37.87158966064453
30,22390011,26,1644568075,47.8013801574707,37.5926399230957
31,22390011,26,1644568075,48.643218994140625,38.39789962768555
32,22390011,26,1644568075,47.145938873291016,37.79914855957031
33,22390091,28,1644580860,48.00583,37.80829
34,22390963,26,1644739215,48.58169937133789,38.36872100830078
35,22390963,26,1644739215,48.66770935058594,39.03683090209961
36,22390963,26,1644739215,48.662269592285156,39.11716842651367
37,22390963,26,1644739215,48.06555938720703,37.68498992919922
38,22391358,16,1644787080,48.49784,38.81693
39,22391356,26,1644817296,48.66374969482422,38.48046875
40,22391356,26,1644817296,47.142669677734375,37.797428131103516
41,22391356,26,1644817296,47.94279098510742,37.51591110229492
42,22392060,21,1644866520,47.94176,37.51608
43,22391934,26,1644908731,48.75463104248047,38.96443176269531
44,22391934,26,1644908731,47.72760009765625,37.60268020629883
45,22391934,26,1644908731,48.06513977050781,37.67863845825195
46,22391934,26,1644908731,47.94382858276367,37.512901306152344
47,22392437,26,1644991536,48.66693115234375,38.48973846435547
48,22392437,26,1644991536,48.660118103027344,39.125579833984375
49,22392437,26,1644991536,48.71836853027344,38.57609176635742
50,22392437,26,1644991536,48.63959884643555,39.49705123901367
51,22393118,26,1645081980,48.66286,38.56081
52,22393119,37,1645082700,48.67355,39.45082
53,22393114,26,1645083480,48.66123,39.4483
54,22393122,2,1645083960,48.04785,38.9752
55,22393117,26,1645084800,48.63869857788086,39.47576904296875
56,22393117,26,1645084800,48.58013153076172,38.36064910888672
57,22393117,26,1645084800,48.6614990234375,39.126609802246094
58,22393117,26,1645084800,47.14524841308594,37.79829025268555
59,22393117,26,1645084800,48.42008972167969,38.25387954711914
60,22393117,26,1645084800,47.941768646240234,37.51694107055664
61,22393117,26,1645084800,48.666259765625,38.48923110961914
62,22393117,26,1645084800,48.59716033935547,39.62709045410156
63,22393127,27,1645085700,48.6736,39.45081
64,22393137,27,1645087733,48.67358,39.4507
65,22393149,27,1645088880,48.06563186645508,37.68190002441406
66,22393149,27,1645088880,48.092350006103516,37.67314910888672
67,22393149,27,1645088880,48.05704879760742,37.5794792175293
68,22393170,27,1645091580,47.94165,37.51539
69,22393189,27,1645095120,48.73673,39.24334
70,22393197,27,1645095600,48.74188,38.37703
71,22393202,27,1645095660,47.94085,37.50578
72,22393203,27,1645096260,48.67502,39.45227
73,22393211,26,1645098393,48.67372131347656,39.45143127441406
74,22393211,26,1645098393,48.721439361572266,38.63230895996094
75,22393211,26,1645098393,48.089778900146484,37.66730880737305
76,22393211,26,1645098393,47.58047103881836,37.663368225097656
77,22393211,26,1645098393,47.53208923339844,37.795719146728516
78,22393211,26,1645098393,47.93292999267578,37.514198303222656
79,22393211,26,1645098393,48.720428466796875,39.15732955932617
80,22393211,26,1645098393,48.36014175415039,37.92171859741211
81,22393211,26,1645098393,48.39297866821289,37.948150634765625
